title,company,location,salary,posted_date,description,search_term,search_location,scraped_at,skills,skills_count,min_experience,max_experience,experience_raw,experience_level,is_remote
Data Analyst,SPHERE TRAVELMEDIA & EXHIBITIONS PVT. LTD,"Domlur, Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:11.903392,['Analytics'],1,,,,Not Specified,False
Data Analyst -2,Proziod Analytics,"Bengaluru, Karnataka",,2026-03-22,Data Analyst -2,Data Analyst,Bangalore,2026-03-22T22:55:13.033059,['Analytics'],1,,,,Not Specified,False
Data Analyst,Kidvento Education and Research,"Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:14.156714,['Analytics'],1,,,,Not Specified,False
Data Analyst,Airbus India Private Limited,"Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:14.955116,['Analytics'],1,,,,Not Specified,False
Data Analyst,Discover Dollar,"Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:15.609349,['Analytics'],1,,,,Not Specified,False
Data Analyst,Smiths Detection,"Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:16.264211,['Analytics'],1,,,,Not Specified,False
Data Analyst,Bosch Group,"Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:17.661752,['Analytics'],1,,,,Not Specified,False
Upstream Data Analyst,Quest Global,"Bengaluru, Karnataka",,2026-03-22,Upstream Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:18.535002,['Analytics'],1,,,,Not Specified,False
Data Visualization Analyst (India),"Applied Systems, Inc.","Bengaluru, Karnataka",,2026-03-22,Data Visualization Analyst (India),Data Analyst,Bangalore,2026-03-22T22:55:19.168261,['Analytics'],1,,,,Not Specified,False
Data Analyst,Convegenius,"Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:19.843220,['Analytics'],1,,,,Not Specified,False
Data Analyst,i11labs,"Rajajinagar, Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:20.868141,['Analytics'],1,,,,Not Specified,False
"Data Analyst,",CGT,"Hybrid work in Bengaluru, Karnataka",,2026-03-22,"Data Analyst,",Data Analyst,Bangalore,2026-03-22T22:55:21.957674,['Analytics'],1,,,,Not Specified,False
"Data Analyst (SQL,HDFS, Hive)",RiskInsight Consulting Pvt Ltd,"Bengaluru, Karnataka",,2026-03-22,"Data Analyst (SQL,HDFS, Hive)",Data Analyst,Bangalore,2026-03-22T22:55:22.933217,"['Analytics', 'SQL']",2,,,,Not Specified,False
Data Analyst,SurveyMonkey,"Hybrid work in Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:23.648501,['Analytics'],1,,,,Not Specified,False
Data Analyst,Q-Dat IT Solutions,"Rajajinagar, Bengaluru, Karnataka",,2026-03-22,Data Analyst,Data Analyst,Bangalore,2026-03-22T22:55:24.588379,['Analytics'],1,,,,Not Specified,False
